object_name,object_name_new
BP_SM_Curtains_tulle02,Curtain_09
BP_SM_Rod_Curtains,Curtain_Rod
BP_SM_Decor_2,Decor_01
BP_SM_Decor_3,Decor_02
BP_SM_Decor_14,Decor_03
BP_SM_Decor_32,Decor_04
BP_SM_Decor_9_ver1,Decor_05
BP_SM_Decor_9_ver6,Decor_06
BP_SM_Decor_jie,Decor_07
BP_SM_Decor_yu,Decor_08
BP_SM_Decoration_03,Decor_09
BP_SM_Decoration_Blinds_2,Decor_10
BP_SM_Decoration_Blinds_3,Decor_11
BP_SM_Desk_1,Desk_01
BP_SM_Desk_03,Desk_02
BP_SM_Desk_08,Desk_03
BP_SM_Desk_08_Body,Desk_04
BP_SM_Desk_LivingRoom005,Desk_05
BP_SM_Desk_Map99,Desk_06
BP_SM_Desk,Desk_07
BP_SM_Desk_Out,Desk_08
BP_SM_Desk_R005,Desk_09
BP_SM_Desk_Reception,Desk_10
BP_SM_Desk_01_Door,Desk_Door
BP_SM_Desk_01_Drawer,Desk_Drawer
BP_SM_DiningChair_white01,DiningChair_White
BP_SM_DiningTable_01,DiningTable
BP_SM_Dishwasher_1_Body,Dishwasher_01
BP_SM_Dishwasher_2_SM_Dishwasher_1,Dishwasher_02
BP_SM_Dishwasher_2_SM_Dishwasher_1_Door,Dishwasher_Door
BP_SM_Doll_Sofia,Doll
BP_SM_Food_Donut_1,Donut
BP_SM_door_C_0,door
BP_P_Door_AS_H01_820,Door_01
BP_SM_Door_001M,Door_01M
BP_SM_CookRange_02_Door,Door_02
BP_SM_Door_001,Door_03
BP_SM_Door_02,Door_04
BP_SM_Door_06,Door_06
BP_SM_Door_06_Frame,Door_06F
BP_SM_Door_06L,Door_06L
BP_SM_Door_07,Door_07
BP_SM_Door_07_Frame,Door_07F
BP_SM_Door_07L,Door_07L
BP_SM_Door_Kitchen1,Door_09
BP_SM_Door_14_Door,Door_14
BP_SM_Door_14_Frame,Door_14F
BP_SM_Door_2sided_Frame1,Door_2F
BP_P_Door_AS_FrameA_820,Door_Frame_01
BP_SM_Door_Frame005,Door_Frame_05
BP_SM_Door_001_Handle,Door_Handle_01
BP_SM_Door_Handle_L,Door_Handle_02
BP_door_L,Door_L
BP_door_R,Door_R
BP_SM_doorsill,Doorsill
BP_SM_Doorway_05,Doorway
BP_SM_Decoration_DressingTable2Stuff1,DressingTable
BP_SM_Easel_stand_01,Easel
BP_SM_Food_Eggplant_01,Eggplant_01
BP_SM_Food_Eggplant_02,Eggplant_02
BP_SM_GYM1,Elliptical_Machine
BP_SM_Fan_01,Fan
BP_SM_FlowerPot1,FlowerPot
BP_MFR_001,Foam_Roller
BP_SM_Folder_Map005_2,Folder_01
BP_SM_Folder_Map005_3,Folder_02
BP_SM_Food_1,Food
BP_SM_FostedCakes,FostedCakes
BP_fridge02,Fridge_01
BP_SM_Fridge_005body,Fridge_02
BP_SM_Fridge_005doorL,Fridge_DoorL
BP_SM_Fridge_005doorR,Fridge_DoorR
BP_SM_Fridge_005Down,Frige_Down
BP_SM_Fruit_FruitPlate,FruitPlate
BP_SM_Decor_Gramophone_Map99,Gramophone
BP_SM_Guitar,Guitar
BP_SM_Ham_01,Ham
BP_SM_Headphone,Headphone
BP_SM_Hood_03,Hood
BP_SM_Decor_Hourglass01,Hourglass
BP_SM_Kettle_1,Kettle
BP_SM_Kettle_Beige_Body,Kettle_Beige
BP_SM_Kettle_Beige_Lid,Kettle_Beige_Lid
BP_SM_Keyboard_Map005,Keyboard
BP_SM_Keys_b,Keys_01
BP_SM_Keys_c,Keys_02
BP_SM_Knife_02,Knife_01
BP_SM_Knife_Child01,Knife_02
BP_SM_Knife_Kichen005,Knife_03
BP_SM_Lamp_01,Lamp
BP_SM_Laptop_01,Laptop_01
BP_SM_Laptop_Dispensary,Laptop_02
BP_SDSM_Letters_Cuboid_Blue,Letters_Cuboid_Blue
BP_SDSM_Letters_Cuboid_Green,Letters_Cuboid_Green
BP_SDSM_Letters_Cuboid_Red,Letters_Cuboid_Red
BP_SM_lotion_sweet_apple,Lotion
BP_SM_Mat_46,Mat
BP_SM_Milk_01,Milk_01
BP_SM_Milk_03,Milk_02
BP_SM_Milk_Kitchen_002,Milk_03
BP_SM_Tray_Milk_005,Milk_04
BP_SM_Decor_Mirror08,Mirror_01
BP_SM_Decor_Mirror10,Mirror_02
BP_SM_Mirror_Bathroom,Mirror_03
BP_SM_Mirror_01,Mirror_04
BP_SM_Mirror_map005,Mirror_05
BP_SM_Modular_Sofa_01,Modular_Sofa_01
BP_SM_Modular_Sofa_02,Modular_Sofa_02
BP_SM_Modular_Sofa_03,Modular_Sofa_03
BP_SM_Mop_04,Mop
BP_SM_Mouse_01,Mouse
BP_SM_Paper_Newspaper01,Newspaper_01
BP_SM_Paper_Newspaper02,Newspaper_02
BP_SM_Stove_Oven3,Oven
BP_SM_CookRange_02_Body,Oven_01
BP_SM_Painting_005_000,Painting_01
BP_SM_Painting_drawing_R,Painting_02
BP_SM_Painting_drawing_R1,Painting_03
BP_SM_Painting_drawing_R2,Painting_04
BP_SM_Pan_4,Pan_01
BP_SM_Pan_05,Pan_02
BP_SM_Pan_4_Lid,Pan_Lid_01
BP_SM_Pan_Pot_01,Pan_Lid_02
BP_SM_Pan_Pot_02,Pan_Lid_03
BP_SDSM_Paper_Waste,Paper
BP_SM_Paper,Paper_01
BP_SM_Paper_table01,Paper_02
BP_SM_Paper_table02,Paper_03
BP_SM_Paper_table03,Paper_04
BP_SM_Paper_Toilet,Paper_05
BP_SM_Paper_Toilet_01,Paper_06
BP_SM_Paper_Used,Paper_07
BP_SM_Paper_Used_Yellow,Paper_08
BP_SM_Pencil_07,Pencil
BP_SM_Pencontainer_Dispensary,Pencontainer
BP_SM_Phone_Case_04,Phone_Case
BP_SM_Photo_05,Photo_01
BP_SM_Photo_12,Photo_02
BP_SM_Photo_13,Photo_03
BP_SM_Piano_01,Piano
BP_SM_Pillow_Attic_000,Pillow_Attic_01
BP_SM_Pillow_Attic_001,Pillow_Attic_02
BP_SM_Pillow_Attic_002,Pillow_Attic_03
BP_SM_Pillow_Attic_003,Pillow_Attic_04
BP_SM_Pillow_Attic_004,Pillow_Attic_05
BP_SM_Pillow_Bed_Childrens_1,Pillow_Bed_Childrens_01
BP_SM_Pillow_Bed_Childrens_2,Pillow_Bed_Childrens_02
BP_SM_Pillow_Bed_Childrens_3,Pillow_Bed_Childrens_03
BP_SM_Pillow_Bed_Childrens_4,Pillow_Bed_Childrens_04
BP_SM_Pillow_Bed_Childrens_5,Pillow_Bed_Childrens_05
BP_SM_Pillow_Bed_Childrens_6,Pillow_Bed_Childrens_06
BP_SM_Pillow_Red02,Pillow_Red_01
BP_SM_Pillow_Red04,Pillow_Red_02
BP_SM_Pillow_Red05,Pillow_Red_03
BP_SM_Plant_01,Plant_01
BP_SM_Plant_02,Plant_02
BP_SM_Plant_03,Plant_03
BP_SM_Plant_005,Plant_04
BP_SM_Plant_5,Plant_05
BP_SM_Plant_05,Plant_06
BP_SM_Plant_6,Plant_07
BP_SM_Plant_07,Plant_08
BP_SM_Plant_08,Plant_09
BP_SM_Plant_009,Plant_10
BP_SM_plant_13,Plant_11
BP_SM_Plant_18,Plant_12
BP_SM_Plant_20,Plant_13
BP_SM_Plant_42,Plant_14
BP_SM_Plant_Cactus1,Plant_15
BP_SM_Plant_Map36_01,Plant_16
BP_SM_Plant_Map36_02,Plant_17
BP_SM_Plant_Map36_03,Plant_18
BP_SM_Plant_Pot2,Plant_19
BP_SM_Plant_PotStick,Plant_20
BP_SM_Plate_3,Plate_01
BP_SM_plate_4,Plate_02
BP_SM_Plate_14,Plate_03
BP_20888_Plug_Socket_v2,Plug_Socket
BP_SM_Pan_PotBody,Pot
BP_SM_Printer_Dispensary,Printer
BP_SM_Rack_03,Rack
BP_SM_Radio_01,Radio_01
BP_SM_Radio_02,Radio_02
BP_SM_RemoteController_01,RemoteController
BP_SM_Shelf_Small,Shelf
BP_SM_Shoes_01,Shoes
BP_SM_Shoes_RainBootsChild,Shoes_RainBootsChild
BP_SM_ShoesBox_02_Body,ShoesBox
BP_SM_ShoesBox_02_Drawer,ShoesBox_Drawer
BP_SM_ShoesBox_02_Left,ShoesBox_Left
BP_SM_ShoesBox_02_Right,ShoesBox_Right
BP_SM_Shower_01,Shower_01
BP_SM_Shower_3,Shower_02
BP_SM_Shower_Enclosure_01_Door,Shower_Door
BP_SM_ShowerGel_0,ShowerGel_01
BP_SM_ShowerGel_1,ShowerGel_02
BP_SM_ShowerGel_2,ShowerGel_03
BP_SM_ShowerGel_3,ShowerGel_04
BP_SM_ShowerGel_4,ShowerGel_05
BP_SM_Sink_Body005,Sink
BP_SM_Sink_Bath_01,Sink_Bath_01
BP_SM_Sink_BathTub,Sink_Bath_02
BP_SM_Sink_Kitchen,Sink_Kitchen
BP_SM_SportSupply_Skateboard,Skateboard
BP_SM_Sliding_Door_01,Sliding_Door_01
BP_SM_Sliding_Door_02,Sliding_Door_02
BP_SM_Shoes_Slippers_01,Slippers
BP_SM_Socket_2,Socket
BP_SM_Sofa_map005_BodyL,Soda_30
BP_SM_Sofa_15,Sofa_14
BP_SM_Sofa_20,Sofa_15
BP_SM_Sofa_01_A,Sofa_16
BP_SM_Sofa_01_B,Sofa_17
BP_SM_Sofa_01_C,Sofa_18
BP_SM_Sofa_01_D,Sofa_19
BP_SM_Sofa_01_E,Sofa_20
BP_SM_Sofa_01_F,Sofa_21
BP_SM_Sofa_01_H,Sofa_22
BP_SM_Sofa_01_I,Sofa_23
BP_SM_Sofa_01_J,Sofa_24
BP_SM_Sofa_01_K,Sofa_25
BP_SM_Sofa_01_L,Sofa_26
BP_SM_Sofa_01_M,Sofa_27
BP_SM_Sofa_01_N,Sofa_28
BP_SM_Sofa_map005_Body,Sofa_29
BP_SM_Sofa_Single,Sofa_31
BP_SM_Sofa_13_Pillow_06,Sofa_Pillow
BP_SM_SofaStool_PuffR2,SofaStool_01
BP_SM_SofaStool_Puton,SofaStool_02
BP_SM_SofaStool_Ottoman,SofaStool_Ottoman
BP_SM_Spoon_Ladles2,Spoon
BP_SM_StandTV_06,StandTV_01
BP_SM_StandTV_TV,StandTV_02
BP_SM_Stool_19,Stool
BP_SM_Stove_01,Stove
BP_SM_Suitcase_04,Suitcase_01
BP_SM_Suitcase_Soft,Suitcase_02
BP_SM_Switch_2,Switch_01
BP_SM_Switch_02,Switch_02
BP_SM_Switch_3,Switch_03
BP_SM_Switch_2_Frame,Switch_Frame
BP_SDSM_Table,Table
BP_SM_Table_Dining_Set,Table_Dining_Set
BP_SM_TableLamp_04,TableLamp_01
BP_SM_TableLamp_10,TableLamp_02
BP_SM_TableLamp_05,TableLamp_03
BP_SM_TableLamp_2,TableLamp_04
BP_SM_TableLamp_BedsideLamp1,TableLamp_Bedside
BP_SM_Tap_Kick,Tap_01
BP_SM_Tap_Kick_switchgeaL,Tap_02
BP_SM_Tap_Kick_switchgeaR,Tap_03
BP_SM_Tap_BathTub_008,Tap_BathTub
BP_SM_Tap_Faucet,Tap_Faucet
BP_SM_Paper_chouzhi,Tissue
BP_SM_CookRange_Toaster,Toaster
BP_SM_Toilet_4,Toliet_01
BP_SM_Toilet_Body_005,Toliet_02
BP_SM_Toilet_BathUp,Toliet_BathUp
BP_SM_Toilet_Cover,Tolit_Cover
BP_SM_Tomato_01,Tomato_01
BP_SM_Fruit_Tomato_01,Tomato_02
BP_SM_Fruit_Tomato_02,Tomato_03
BP_SM_ToolBox,ToolBox
BP_SM_ToolBox_Tools,ToolBox_Tools
BP_SM_TableLamp_Torchere,Torchere
BP_SM_Towel_02,Towel
BP_SM_TowelRail_7,TowelRail
BP_SM_Toy_ver3,Toy
BP_SM_Toy_BrownBear,Toy_BrownBear
BP_SM_Toy_Car_Blue,Toy_Car_Blue
BP_SM_Chair_Toy,Toy_Chair_01
BP_SM_Chair_Toy1,Toy_Chair_02
BP_SM_Toy_ChristmasCap_ver1,Toy_ChristmasCap_01
BP_SM_Toy_ChristmasCap_ver2,Toy_ChristmasCap_02
BP_SM_Toy_ChristmasCap_ver3,Toy_ChristmasCap_03
BP_SM_Toy_Cube_ver3,Toy_Cube
BP_SM_Toy_Dinosaur,Toy_Dinosaur
BP_SM_Toy_DollHouse,Toy_DollHouse
BP_SM_Toy_Duck,Toy_Duck
BP_SM_Toy_Horse_02,Toy_Horse
BP_SM_Toy_Kid_Guitar_LP,Toy_Kid_Guitar
BP_SM_Toy_Lion,Toy_Lion
BP_SM_Toy_MushroomLights_05,Toy_MushroomLights
BP_SDSM_Toy_Plane_main,Toy_Plane
BP_SM_Toy_RockClimbing01,Toy_RockClimbing
BP_SM_Toy_SpaceManA,Toy_SpaceMan
BP_SM_Toy_KW,Toy_SuperWings_Bello
BP_SM_Toy_LD,Toy_SuperWings_Jett
BP_SM_Toy_TrainFrontCart,Toy_TrainFrontCart
BP_SM_Toy_Truck,Toy_Truck
BP_SM_TrashCan_02,TrashCan_01
BP_SM_TrashCan_Old,TrashCan_02
BP_SM_Tray_2,Tray_01
BP_SM_Tray_005,Tray_02
BP_SM_Tray_008,Tray_03
BP_SM_Trophy_01,Trophy
BP_SM_TV_01,TV
BP_SM_TV_Hanged,TV_Hanged
BP_SM_Decor_Umbrella_01,Umbrella
BP_SM_VanityUnit_03,VanityUnit_01
BP_SM_VanityUnit_06,VanityUnit_02
BP_SM_VanityUnit_005Body,VanityUnit_03
BP_SM_VanityUnit_Map005,VanityUnit_04
BP_SM_WashMachine_34,WashMachine_01
BP_SM_WashMachine_02_Body,WashMachine_01
BP_SM_WashMachine_02_Door,WashMachine_Door
BP_SM_Window_13,Window
BP_SM_Window_005_01_Frame,Window_Frame_01
BP_SM_Window_005_Frame_00,Window_Frame_02
BP_SM_Window_005_Frame_perfbx,Window_Frame_03
BP_SM_Window_BathUp,Window_Venetian_Blind_01
BP_SM_Window_Blinds_Map99_01,Window_Venetian_Blind_02
BP_SM_Window_Blinds_Map99_02,Window_Venetian_Blind_03
BP_Venetian+Blind_Livingroom_IKEA_VECKLARFLY,Window_Venetian_Blind_04
BP_yoga_block_002,Yoga_Block
